os,timestamp,matrixName,rows,cols,nonZeros,exception,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError
linux,2025-06-09 15:22:05,ex15.mat,6867,6867,98671,,0.0065898,3.8680416,0.0159124,8.1167328,0.0056974,1.0778719999999997,6.64962774879362e-07
linux,2025-06-09 15:22:06,shallow_water1.mat,81920,81920,327680,,0.0183924,12.427606399999998,0.175881,78.67688319999999,0.015599199999999999,5.8782336,2.6699811977790898e-16
linux,2025-06-09 15:22:07,cfd1.mat,70656,70656,1825580,,0.0818508,61.3978304,2.0139756,1145.9581696,0.0954304,5.155302400000001,1.0882869072671498e-13
linux,2025-06-09 15:22:10,cfd2.mat,123440,123440,3085406,,0.1324024,103.3913216,4.601046800000001,2362.1639807999995,0.1786944,8.535008,3.23128582090735e-13
linux,2025-06-09 15:22:15,parabolic_fem.mat,525825,525825,3674625,,0.1387708,135.0521856,2.2106216,1172.5855808000001,0.11866620000000001,34.294937600000004,9.56238845880873e-13
linux,2025-06-09 15:22:18,apache2.mat,715176,715176,4817870,,0.10292819999999998,164.96164159999998,10.6770772,,0.41621420000000003,46.4116608,4.3988319785388495e-11
linux,2025-06-09 15:22:31,G3_circuit.mat,1585478,1585478,7660826,,0.19205860000000002,271.1530432,13.068553600000001,,0.4772144,102.1115904,3.36713698458665e-12
