os,timestamp,matrixName,rows,cols,nonZeros,decompPeakMem,solvePeakMem,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError
Windows,2025-06-09T11:53:27,ex15.mtx,6867,6867,98671,3247.25,3247.25,0.0085066,2.258,0.026466599999999996,6.412000000000001,0.0009794,0.1,6.39e-07
Windows,2025-06-09T11:53:27,shallow_water1.mtx,81920,81920,327680,3247.25,3247.25,0.0243064,4.92,0.11483439999999998,39.574,0.0091748,0.696,2.38e-16
Windows,2025-06-09T11:53:28,cfd1.mtx,70656,70656,1828364,3247.25,3247.25,0.06865079999999998,28.940000000000005,1.0321850000000001,197.272,0.019836200000000002,1.054,6.47e-14
Windows,2025-06-09T11:53:30,cfd2.mtx,123440,123440,3087898,3247.25,3247.25,0.11343980000000001,47.72200000000001,1.7965592000000001,350.2,0.0342964,1.422,2.0499999999999998e-13
Windows,2025-06-09T11:53:32,parabolic_fem.mtx,525825,525825,3674625,3247.25,3247.25,0.1793534,56.657999999999994,1.0135026,399.312,0.0734904,4.02,1.05e-12
Windows,2025-06-09T11:53:40,apache2.mtx,715176,715176,4817870,3247.25,3247.25,0.17284940000000001,74.1,7.5364734,1279.4900000000002,0.16185860000000002,5.46,3.26e-11
Windows,2025-06-09T11:53:53,G3_circuit.mtx,1585478,1585478,7660826,3247.25,3247.25,0.27527120000000005,117.494,12.0188498,1046.4379999999999,0.22199,12.102,2.9699999999999997e-12
Windows,2025-06-09T11:54:37,StocF-1465.mtx,1465137,1465137,21005389,10873.62,10873.62,0.6538576,320.628,40.37192,9600.254,0.787035,11.190000000000001,3.68e-10
Windows,2025-06-09T11:55:29,Flan_1565.mtx,1564794,1564794,117406044,18690.59,18690.59,3.3845082,1792.0459999999998,41.0523836,13173.404,1.237634,11.94,2.83e-12
