os,timestamp,matrixName,rows,cols,nonZeros,decompPeakMem,solvePeakMem,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError
Linux,2025-06-09T14:44:14,ex15.mtx,6867,6867,98671,0.0,0.0,0.0217776,0.024,0.019826,1.0,0.002674,0.162,6.12e-07
Linux,2025-06-09T14:44:15,shallow_water1.mtx,81920,81920,327680,0.0,0.0,0.0655716,0.024,0.3338652,36.352,0.017387599999999996,0.0,2.03e-16
Linux,2025-06-09T14:44:17,cfd1.mtx,70656,70656,1828364,0.0,0.0,0.10835639999999999,22.224,1.5326738,285.412,0.0421854,0.0,6.63e-14
Linux,2025-06-09T14:44:19,cfd2.mtx,123440,123440,3087898,0.0,0.0,0.08876339999999999,0.2,2.842569,403.938,0.09750900000000001,0.0,1.8599999999999996e-13
Linux,2025-06-09T14:44:22,parabolic_fem.mtx,525825,525825,3674625,0.0,0.0,0.09026719999999999,0.048,2.0243122,399.878,0.0966702,0.0,6.7e-13
Linux,2025-06-09T14:44:34,apache2.mtx,715176,715176,4817870,0.0,0.0,0.10161800000000001,14.693999999999999,10.885037200000001,1284.794,0.18147459999999999,0.0,3.53e-11
Linux,2025-06-09T14:44:49,G3_circuit.mtx,1585478,1585478,7660826,0.0,0.0,0.16746,98.046,13.43735,1058.682,0.210945,0.0,3.78e-12
Linux,2025-06-09T14:46:38,StocF-1465.mtx,1465137,1465137,21005389,0.0,0.0,0.374494,320.79200000000003,67.1600388,9633.482,0.9354859999999998,0.0,3.69e-10
Linux,2025-06-09T14:48:13,Flan_1565.mtx,1564794,1564794,117406044,0.0,0.0,1.5989385999999999,1791.6879999999996,87.92583459999999,13110.221999999998,1.3773736,0.0,2.47e-12
