os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Linux,2025-06-09T15:00:21,ex15.mtx,6867,6867,98671,0.016064,0.00,0.022964,0.91,0.00,0.008134,0.15,0.00,6.12e-07
Linux,2025-06-09T15:00:22,shallow_water1.mtx,81920,81920,327680,0.057874,0.00,0.276730,36.38,0.00,0.036854,0.00,0.00,2.03e-16
Linux,2025-06-09T15:00:24,cfd1.mtx,70656,70656,1828364,0.116302,20.89,2.143115,287.79,0.00,0.082949,0.00,0.00,6.63e-14
Linux,2025-06-09T15:00:29,cfd2.mtx,123440,123440,3087898,0.092961,0.00,4.220522,435.50,0.00,0.251728,0.00,0.00,1.86e-13
Linux,2025-06-09T15:00:33,parabolic_fem.mtx,525825,525825,3674625,0.091290,0.12,3.310309,370.38,0.00,0.169644,0.00,0.00,6.70e-13
Linux,2025-06-09T15:00:45,apache2.mtx,715176,715176,4817870,0.102465,0.00,11.717721,1259.02,0.00,0.172464,0.00,0.00,3.53e-11
Linux,2025-06-09T15:00:59,G3_circuit.mtx,1585478,1585478,7660826,0.143079,58.43,13.157672,999.86,0.00,0.194962,0.00,0.00,3.78e-12
Linux,2025-06-09T15:02:38,StocF-1465.mtx,1465137,1465137,21005389,0.330680,320.95,97.185387,9623.43,0.00,0.913634,0.00,0.00,3.69e-10
Linux,2025-06-09T15:04:37,Flan_1565.mtx,1564794,1564794,117406044,1.570632,1791.62,112.983636,13071.81,0.00,2.129588,0.00,0.00,2.47e-12
