os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Linux,2025-06-09T15:12:33,ex15.mtx,6867,6867,98671,0.017039,0.12,0.016364,0.97,0.00,0.001785,0.18,0.00,6.12e-07
Linux,2025-06-09T15:12:34,shallow_water1.mtx,81920,81920,327680,0.078105,0.12,0.388687,36.25,0.00,0.015277,0.00,0.00,2.03e-16
Linux,2025-06-09T15:12:35,cfd1.mtx,70656,70656,1828364,0.088571,20.82,1.370185,285.12,0.00,0.033243,0.00,0.00,6.63e-14
Linux,2025-06-09T15:12:38,cfd2.mtx,123440,123440,3087898,0.089711,0.88,2.446128,377.72,0.00,0.037378,0.00,0.00,1.86e-13
Linux,2025-06-09T15:12:41,parabolic_fem.mtx,525825,525825,3674625,0.101382,0.00,2.102679,414.75,0.00,0.072121,0.00,0.00,6.70e-13
Linux,2025-06-09T15:12:51,apache2.mtx,715176,715176,4817870,0.084947,0.00,9.932738,1306.71,0.00,0.211070,0.00,0.00,3.53e-11
Linux,2025-06-09T15:13:05,G3_circuit.mtx,1585478,1585478,7660826,0.148365,58.32,13.391710,1030.33,0.00,0.200749,0.00,0.00,3.78e-12
Linux,2025-06-09T15:14:26,StocF-1465.mtx,1465137,1465137,21005389,0.387309,320.70,78.553183,9638.75,0.00,1.148863,0.00,0.00,3.69e-10
Linux,2025-06-09T15:15:42,Flan_1565.mtx,1564794,1564794,117406044,1.612939,1791.80,71.379784,13070.25,0.00,0.955325,0.00,0.00,2.47e-12
