os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError,exception
linux,2025-06-09 15:22:05,ex15.mat,6867,6867,98671,0.007334,3.809072,0.014931,8.099904,0.00475,1.09248,6.64962774879362e-07,
linux,2025-06-09 15:22:06,shallow_water1.mat,81920,81920,327680,0.016177,12.426544,0.208629,78.692704,0.013902,5.871776,2.66998119777909e-16,
linux,2025-06-09 15:22:07,cfd1.mat,70656,70656,1825580,0.082258,61.397408,2.023049,1150.978048,0.09317,5.150336,1.08828690726715e-13,
linux,2025-06-09 15:22:10,cfd2.mat,123440,123440,3085406,0.138045,103.386688,4.507659,2356.974848,0.171596,8.52912,3.23128582090735e-13,
linux,2025-06-09 15:22:15,parabolic_fem.mat,525825,525825,3674625,0.142238,135.062016,2.213262,1173.726272,0.115187,34.312704,9.56238845880873e-13,
linux,2025-06-09 15:22:18,apache2.mat,715176,715176,4817870,0.100509,166.249312,10.826224,NaN,0.419866,46.41568,4.39883197853885e-11,
linux,2025-06-09 15:22:31,G3_circuit.mat,1585478,1585478,7660826,0.191453,271.156864,13.244894,NaN,0.479336,102.113056,3.36713698458665e-12,
