os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Linux,2025-06-09T15:08:26,ex15.mtx,6867,6867,98671,0.024857,0.00,0.018900,0.96,0.00,0.000700,0.18,0.00,6.12e-07
Linux,2025-06-09T15:08:26,shallow_water1.mtx,81920,81920,327680,0.032498,0.00,0.263396,36.38,0.00,0.008200,0.00,0.00,2.03e-16
Linux,2025-06-09T15:08:28,cfd1.mtx,70656,70656,1828364,0.140430,20.69,1.355399,285.43,0.00,0.030382,0.00,0.00,6.63e-14
Linux,2025-06-09T15:08:31,cfd2.mtx,123440,123440,3087898,0.087864,0.00,2.732290,436.75,0.00,0.108306,0.00,0.00,1.86e-13
Linux,2025-06-09T15:08:33,parabolic_fem.mtx,525825,525825,3674625,0.095460,0.00,1.535192,370.38,0.00,0.094912,0.00,0.00,6.70e-13
Linux,2025-06-09T15:08:45,apache2.mtx,715176,715176,4817870,0.114163,0.00,10.786327,1257.55,0.00,0.155479,0.00,0.00,3.53e-11
Linux,2025-06-09T15:08:59,G3_circuit.mtx,1585478,1585478,7660826,0.157796,139.93,13.216488,1065.68,0.00,0.190122,0.00,0.00,3.78e-12
Linux,2025-06-09T15:10:21,StocF-1465.mtx,1465137,1465137,21005389,0.385478,320.59,80.233706,9640.21,0.00,0.736834,0.00,0.00,3.69e-10
Linux,2025-06-09T15:11:53,Flan_1565.mtx,1564794,1564794,117406044,1.474483,1791.69,87.105278,13153.99,0.00,1.100440,0.00,0.00,2.47e-12
