os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError,exception
linux,2025-06-09 15:25:33,ex15.mat,6867,6867,98671,0.00601,3.887696,0.012658,8.125792,0.005692,1.078752,6.64962774879362e-07,
linux,2025-06-09 15:25:34,shallow_water1.mat,81920,81920,327680,0.017368,12.42896,0.161896,78.673696,0.016007,5.882112,2.66998119777909e-16,
linux,2025-06-09 15:25:35,cfd1.mat,70656,70656,1825580,0.085037,61.392352,1.981179,1150.983968,0.090566,5.161568,1.08828690726715e-13,
linux,2025-06-09 15:25:38,cfd2.mat,123440,123440,3085406,0.127867,103.396704,4.686681,2362.431904,0.184224,8.53552,3.23128582090735e-13,
linux,2025-06-09 15:25:43,parabolic_fem.mat,525825,525825,3674625,0.143878,135.056992,2.235045,1173.709824,0.113819,34.290336,9.56238845880873e-13,
linux,2025-06-09 15:25:46,apache2.mat,715176,715176,4817870,0.100755,166.24648,10.627143,NaN,0.427721,46.411552,4.39883197853885e-11,
linux,2025-06-09 15:25:58,G3_circuit.mat,1585478,1585478,7660826,0.198485,271.153024,13.132578,NaN,0.476139,102.108032,3.36713698458665e-12,
