os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Windows,2025-06-09T12:02:53,ex15.mtx,6867,6867,98671,0.008117,1.11,0.018886,6.55,3248.00,0.000611,0.10,3248.00,6.39e-07
Windows,2025-06-09T12:02:53,shallow_water1.mtx,81920,81920,327680,0.023596,5.55,0.116721,38.92,3248.00,0.009957,1.26,3248.00,2.38e-16
Windows,2025-06-09T12:02:55,cfd1.mtx,70656,70656,1828364,0.070634,29.44,1.066225,197.54,3248.00,0.018761,0.83,3248.00,6.47e-14
Windows,2025-06-09T12:02:57,cfd2.mtx,123440,123440,3087898,0.113670,47.74,1.770795,349.82,3248.00,0.032796,1.90,3248.00,2.05e-13
Windows,2025-06-09T12:02:58,parabolic_fem.mtx,525825,525825,3674625,0.173578,56.69,1.005192,399.55,3248.00,0.071228,4.02,3248.00,1.05e-12
Windows,2025-06-09T12:03:06,apache2.mtx,715176,715176,4817870,0.177822,74.11,7.604512,1280.08,3248.00,0.165835,5.46,3248.00,3.26e-11
Windows,2025-06-09T12:03:19,G3_circuit.mtx,1585478,1585478,7660826,0.286891,117.51,12.353654,1045.87,3248.00,0.221287,12.10,3248.00,2.97e-12
Windows,2025-06-09T12:04:02,StocF-1465.mtx,1465137,1465137,21005389,0.739521,320.64,40.630436,9600.05,10872.78,0.849694,11.20,10872.78,3.68e-10
Windows,2025-06-09T12:04:52,Flan_1565.mtx,1564794,1564794,117406044,3.724024,1792.05,40.581305,13178.59,18698.10,1.258327,11.94,18698.10,2.83e-12
