os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Linux,2025-06-09T15:04:47,ex15.mtx,6867,6867,98671,0.031674,0.00,0.025070,1.07,0.00,0.000762,0.18,0.00,6.12e-07
Linux,2025-06-09T15:04:47,shallow_water1.mtx,81920,81920,327680,0.072049,0.00,0.341281,36.50,0.00,0.018102,0.00,0.00,2.03e-16
Linux,2025-06-09T15:04:49,cfd1.mtx,70656,70656,1828364,0.102709,20.88,1.311771,285.41,0.00,0.039626,0.00,0.00,6.63e-14
Linux,2025-06-09T15:04:52,cfd2.mtx,123440,123440,3087898,0.062963,0.12,2.279838,384.84,0.00,0.034326,0.00,0.00,1.86e-13
Linux,2025-06-09T15:04:53,parabolic_fem.mtx,525825,525825,3674625,0.090772,0.12,1.429157,426.00,0.00,0.070594,0.00,0.00,6.70e-13
Linux,2025-06-09T15:05:04,apache2.mtx,715176,715176,4817870,0.096026,36.74,9.801321,1300.29,0.00,0.163250,0.00,0.00,3.53e-11
Linux,2025-06-09T15:05:18,G3_circuit.mtx,1585478,1585478,7660826,0.177692,116.91,13.263719,1113.86,0.00,0.197870,0.00,0.00,3.78e-12
Linux,2025-06-09T15:06:39,StocF-1465.mtx,1465137,1465137,21005389,0.370084,320.90,79.421822,9602.45,0.00,0.709816,0.00,0.00,3.69e-10
Linux,2025-06-09T15:08:10,Flan_1565.mtx,1564794,1564794,117406044,1.490175,1791.62,85.912928,13190.59,0.00,1.098830,0.00,0.00,2.47e-12
