os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Windows,2025-06-09T11:55:46,ex15.mtx,6867,6867,98671,0.007927,2.93,0.027363,6.32,3248.00,0.001019,0.10,3248.00,6.39e-07
Windows,2025-06-09T11:55:46,shallow_water1.mtx,81920,81920,327680,0.025487,4.65,0.107233,40.36,3248.00,0.009522,0.01,3248.00,2.38e-16
Windows,2025-06-09T11:55:47,cfd1.mtx,70656,70656,1828364,0.066234,29.40,0.999725,196.80,3248.00,0.017655,1.11,3248.00,6.47e-14
Windows,2025-06-09T11:55:49,cfd2.mtx,123440,123440,3087898,0.110000,47.71,1.771511,350.11,3248.00,0.034572,0.48,3248.00,2.05e-13
Windows,2025-06-09T11:55:51,parabolic_fem.mtx,525825,525825,3674625,0.172746,56.66,1.013930,399.34,3248.00,0.069382,4.02,3248.00,1.05e-12
Windows,2025-06-09T11:55:59,apache2.mtx,715176,715176,4817870,0.167163,74.09,7.441067,1279.46,3248.00,0.160647,5.46,3248.00,3.26e-11
Windows,2025-06-09T11:56:11,G3_circuit.mtx,1585478,1585478,7660826,0.279499,117.50,11.860212,1046.99,3248.00,0.221827,12.10,3248.00,2.97e-12
Windows,2025-06-09T11:56:53,StocF-1465.mtx,1465137,1465137,21005389,0.590197,320.63,39.887304,9598.33,10871.97,0.890042,11.18,10871.97,3.68e-10
Windows,2025-06-09T11:57:42,Flan_1565.mtx,1564794,1564794,117406044,2.807622,1792.07,41.264303,13171.40,18690.06,1.248037,11.94,18690.06,2.83e-12
