os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Windows,2025-06-09T11:53:27,ex15.mtx,6867,6867,98671,0.009813,2.88,0.050845,6.18,3247.25,0.001794,0.10,3247.25,6.39e-07
Windows,2025-06-09T11:53:27,shallow_water1.mtx,81920,81920,327680,0.024626,4.79,0.119126,38.83,3247.25,0.008200,1.25,3247.25,2.38e-16
Windows,2025-06-09T11:53:28,cfd1.mtx,70656,70656,1828364,0.069179,28.21,1.051938,197.26,3247.25,0.020909,1.11,3247.25,6.47e-14
Windows,2025-06-09T11:53:30,cfd2.mtx,123440,123440,3087898,0.118831,47.75,1.887363,350.75,3247.25,0.038865,1.41,3247.25,2.05e-13
Windows,2025-06-09T11:53:32,parabolic_fem.mtx,525825,525825,3674625,0.204427,56.66,1.058888,398.99,3247.25,0.089183,4.02,3247.25,1.05e-12
Windows,2025-06-09T11:53:40,apache2.mtx,715176,715176,4817870,0.173388,74.11,7.791980,1279.26,3247.25,0.168471,5.46,3247.25,3.26e-11
Windows,2025-06-09T11:53:53,G3_circuit.mtx,1585478,1585478,7660826,0.281362,117.49,12.357471,1046.79,3247.25,0.223817,12.11,3247.25,2.97e-12
Windows,2025-06-09T11:54:37,StocF-1465.mtx,1465137,1465137,21005389,0.737220,320.63,41.262889,9600.32,10873.62,0.726917,11.20,10873.62,3.68e-10
Windows,2025-06-09T11:55:29,Flan_1565.mtx,1564794,1564794,117406044,3.723152,1792.03,43.162704,13171.36,18690.59,1.341035,11.94,18690.59,2.83e-12
