os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError,exception
linux,2025-06-09 15:24:09,ex15.mat,6867,6867,98671,0.006435,3.865344,0.013827,8.11376,0.005964,1.065408,6.64962774879362e-07,
linux,2025-06-09 15:24:10,shallow_water1.mat,81920,81920,327680,0.017001,12.42944,0.165734,78.673472,0.016157,5.879488,2.66998119777909e-16,
linux,2025-06-09 15:24:11,cfd1.mat,70656,70656,1825580,0.080758,61.400256,1.942468,1138.3152,0.097251,5.15552,1.08828690726715e-13,
linux,2025-06-09 15:24:13,cfd2.mat,123440,123440,3085406,0.132157,103.39024,4.576931,2362.415968,0.178674,8.536704,3.23128582090735e-13,
linux,2025-06-09 15:24:19,parabolic_fem.mat,525825,525825,3674625,0.13893,135.043936,2.252029,1170.95296,0.12098,34.291616,9.56238845880873e-13,
linux,2025-06-09 15:24:22,apache2.mat,715176,715176,4817870,0.104845,166.247872,10.602671,NaN,0.422216,46.408224,4.39883197853885e-11,
linux,2025-06-09 15:24:34,G3_circuit.mat,1585478,1585478,7660826,0.191544,271.151392,13.110628,NaN,0.492174,102.119264,3.36713698458665e-12,
