os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError,exception
windows,2025-06-07 09:51:11,ex15.mat,6867,6867,98671,0.0046826,0,0.0114721,7.315456,0.0012319,0,6.31831199483162e-07,
windows,2025-06-07 09:51:12,shallow_water1.mat,81920,81920,327680,0.0168724,10.52672,0.1377557,75.603968,0.0089598,0,2.67234700436789e-16,
windows,2025-06-07 09:51:13,cfd1.mat,70656,70656,1825580,0.0858489,58.540032,1.3143707,1150.353408,0.0841909,0,1.14331658728209e-13,
windows,2025-06-07 09:51:15,cfd2.mat,123440,123440,3085406,0.1374379,98.942976,2.9259177,2365.186048,0.1754186,0,3.38304638867385e-13,
windows,2025-06-07 09:51:19,parabolic_fem.mat,525825,525825,3674625,0.167511,134.709248,1.8537166,1175.314432,0.1091952,33.75104,1.05370570885094e-12,
windows,2025-06-07 09:51:22,apache2.mat,715176,715176,4817870,0.1146113,165.945344,7.6176266,5707.022336,0.4702551,45.858816,4.39187829690422e-11,
windows,2025-06-07 09:51:31,G3_circuit.mat,1585478,1585478,7660826,0.1910016,271.056896,9.5682888,6113.837056,0.512877,101.679104,3.57545524230986e-12,
