os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Linux,2025-06-09T14:44:14,ex15.mtx,6867,6867,98671,0.019254,0.00,0.015832,1.09,0.00,0.001989,0.12,0.00,6.12e-07
Linux,2025-06-09T14:44:15,shallow_water1.mtx,81920,81920,327680,0.087332,0.00,0.399232,36.25,0.00,0.008505,0.00,0.00,2.03e-16
Linux,2025-06-09T14:44:17,cfd1.mtx,70656,70656,1828364,0.093770,27.84,1.482899,283.31,0.00,0.024727,0.00,0.00,6.63e-14
Linux,2025-06-09T14:44:19,cfd2.mtx,123440,123440,3087898,0.110318,0.00,2.534067,384.88,0.00,0.055807,0.00,0.00,1.86e-13
Linux,2025-06-09T14:44:22,parabolic_fem.mtx,525825,525825,3674625,0.072432,0.00,1.744224,417.88,0.00,0.076080,0.00,0.00,6.70e-13
Linux,2025-06-09T14:44:34,apache2.mtx,715176,715176,4817870,0.110489,36.73,12.187079,1300.40,0.00,0.205110,0.00,0.00,3.53e-11
Linux,2025-06-09T14:44:49,G3_circuit.mtx,1585478,1585478,7660826,0.210368,116.64,14.157161,1083.68,0.00,0.271022,0.00,0.00,3.78e-12
Linux,2025-06-09T14:46:38,StocF-1465.mtx,1465137,1465137,21005389,0.398919,320.82,77.406096,9662.57,0.00,1.168283,0.00,0.00,3.69e-10
Linux,2025-06-09T14:48:13,Flan_1565.mtx,1564794,1564794,117406044,1.846464,1791.71,82.247547,13064.47,0.00,1.602685,0.00,0.00,2.47e-12
