os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Windows,2025-06-09T11:57:52,ex15.mtx,6867,6867,98671,0.008141,1.45,0.017521,6.73,3247.42,0.000896,0.10,3247.42,6.39e-07
Windows,2025-06-09T11:57:52,shallow_water1.mtx,81920,81920,327680,0.025214,4.81,0.118830,39.26,3247.42,0.008613,0.95,3247.42,2.38e-16
Windows,2025-06-09T11:57:53,cfd1.mtx,70656,70656,1828364,0.071849,29.39,1.028624,196.85,3247.42,0.021707,1.11,3247.42,6.47e-14
Windows,2025-06-09T11:57:55,cfd2.mtx,123440,123440,3087898,0.114067,47.70,1.790966,350.23,3247.42,0.032413,1.43,3247.42,2.05e-13
Windows,2025-06-09T11:57:57,parabolic_fem.mtx,525825,525825,3674625,0.171787,56.64,0.987459,399.52,3247.42,0.066464,4.02,3247.42,1.05e-12
Windows,2025-06-09T11:58:04,apache2.mtx,715176,715176,4817870,0.172117,74.09,7.433208,1280.38,3247.42,0.154505,5.46,3247.42,3.26e-11
Windows,2025-06-09T11:58:17,G3_circuit.mtx,1585478,1585478,7660826,0.259547,117.48,11.848115,1045.36,3247.42,0.222196,12.10,3247.42,2.97e-12
Windows,2025-06-09T11:58:59,StocF-1465.mtx,1465137,1465137,21005389,0.597872,320.67,40.444430,9601.44,10874.37,0.726092,11.19,10874.37,3.68e-10
Windows,2025-06-09T11:59:49,Flan_1565.mtx,1564794,1564794,117406044,3.819201,1792.04,40.518623,13173.27,18693.02,0.958877,11.94,18693.02,2.83e-12
