os,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError,exception
linux,2025-06-09 15:27:28,ex15.mat,6867,6867,98671,0.007038,3.891552,0.024043,8.121392,0.006699,1.076528,6.64962774879362e-07,
linux,2025-06-09 15:27:29,shallow_water1.mat,81920,81920,327680,0.024051,12.427296,0.173518,78.67632,0.015564,5.87904,2.66998119777909e-16,
linux,2025-06-09 15:27:30,cfd1.mat,70656,70656,1825580,0.078259,61.399296,2.143088,1138.529792,0.100242,5.150528,1.08828690726715e-13,
linux,2025-06-09 15:27:33,cfd2.mat,123440,123440,3085406,0.136384,103.39328,4.577916,2365.235136,0.167278,8.536576,3.23128582090735e-13,
linux,2025-06-09 15:27:38,parabolic_fem.mat,525825,525825,3674625,0.130558,135.044096,2.093292,1173.64928,0.126315,34.289824,9.56238845880873e-13,
linux,2025-06-09 15:27:41,apache2.mat,715176,715176,4817870,0.102516,159.822336,10.808628,NaN,0.414485,46.414752,4.39883197853885e-11,
linux,2025-06-09 15:27:53,G3_circuit.mat,1585478,1585478,7660826,0.193725,271.152288,13.248669,NaN,0.484282,102.109728,3.36713698458665e-12,
